,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
86,1,0,0.04531707872786486,-9.487883173129608,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
87,1,8,0.009624729134172368,-8.259147624518848,3,二线城市,96.0,9216.0,0,1,0,0,1,0,0,4
88,1,0,0.0051259603881604904,-8.320062992254458,4,其他,255.0,65025.0,0,0,0,0,0,1,0,4
89,1,3,0.06574742538609125,7.255859575216313,5,一线城市,37.0,1369.0,1,0,0,0,0,0,1,4
90,1,0,0.0,-9.461234826246352,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
91,1,2,0.06108342627411382,-7.363722900249105,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
92,0,1,0.0038557164934616165,-9.952729045690658,0,其他,44.0,1936.0,0,0,0,0,0,0,0,4
93,1,21,0.09480834121622232,-10.198476155412811,2,一线城市,101.0,10201.0,1,0,0,1,0,0,0,4
94,1,1,0.01232561954970743,-9.706981935968503,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
95,1,3,0.034342703371367064,-7.083708769674601,5,二线城市,37.0,1369.0,0,1,0,0,0,0,1,4
96,1,18,0.08028792929776171,70.42848027518961,4,一线城市,123.0,15129.0,1,0,0,0,0,1,0,4
97,1,0,0.21125180906416285,-9.144868036039782,2,一线城市,234.0,54756.0,1,0,0,1,0,0,0,4
98,1,0,0.011083683857591935,-4.580180700072203,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
99,1,8,0.002488202120111928,-9.952729045690658,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
100,0,0,0.04035907023029864,-10.44422326513496,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
101,1,0,0.12136487308503575,-9.2154877165242,2,其他,222.0,49284.0,0,0,0,1,0,0,0,4
102,1,0,0.03924232164741588,-9.952729045690658,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
103,1,16,0.03790393453344336,-5.969185282565964,5,其他,54.0,2916.0,0,0,0,0,0,0,1,4
104,1,3,0.005949940952137142,-8.75064184396315,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
105,1,0,0.07265685742894067,-5.9328326229338995,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,4
106,1,0,0.08493051773566061,10.306643149392666,5,一线城市,87.0,7569.0,1,0,0,0,0,0,1,4
107,1,7,0.08548787555367472,62.723963864110175,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
108,1,2,0.07076745955306198,-9.706981935968503,4,一线城市,252.0,63504.0,1,0,0,0,0,1,0,4
109,1,0,0.0,-9.952729045690658,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
110,1,0,0.026843582863526047,-8.259147624518848,4,二线城市,108.0,11664.0,0,1,0,0,0,1,0,4
111,1,5,0.05801733320052322,-10.040292760309525,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
112,0,0,0.0507237026772876,-9.242136063407457,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
113,1,0,0.006805201746980235,-10.44422326513496,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
114,1,0,0.006967669838446392,-9.706981935968503,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
115,1,1,0.06410456161447144,-8.259147624518848,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
116,1,0,0.16684101878769705,-10.44422326513496,4,其他,224.0,50176.0,0,0,0,0,0,1,0,4
117,1,7,0.03120809432918254,-10.198476155412811,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
118,0,0,0.0,-9.952729045690658,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
119,1,0,0.2911145455768565,-8.996388953685305,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
120,1,0,0.03031695487649071,-8.996388953685305,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
121,0,0,0.0,-10.44422326513496,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
122,1,0,0.0,-10.198476155412811,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
123,1,24,0.060543669808090374,107.5259336973704,4,一线城市,239.0,57121.0,1,0,0,0,0,1,0,4
124,1,2,0.023399049581148187,-8.127612576298818,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
125,1,0,0.012379697511368127,-10.44422326513496,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,4
126,1,0,0.0,-8.478246387357736,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
127,1,0,0.0,-9.487883173129608,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
128,0,0,0.05936658070077346,-8.161879597151172,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
129,1,8,0.08582742626156992,93.01882257319375,4,二线城市,255.0,65025.0,0,1,0,0,0,1,0,4
130,1,40,0.03332149327525353,-2.9153332645633636,5,二线城市,255.0,65025.0,0,1,0,0,0,0,1,4
131,1,0,0.0076287505203680005,-10.44422326513496,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
132,0,0,0.0,-10.44422326513496,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
133,1,1,0.021657437119065846,-9.706981935968503,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,4
134,1,9,0.134619995542593,198.6599632546497,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
135,1,8,0.11199600173190001,-5.15161996016629,5,一线城市,62.0,3844.0,1,0,0,0,0,0,1,4
136,1,0,0.023220500008068655,-7.030412075908085,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
137,1,0,0.01901973028842639,-9.242136063407457,3,二线城市,0.0,0.0,0,1,0,0,1,0,0,4
138,1,4,0.07658192641339848,-10.44422326513496,4,其他,255.0,65025.0,0,0,0,0,0,1,0,4
139,0,0,0.0,-10.44422326513496,2,其他,0.0,0.0,0,0,0,1,0,0,0,4
140,1,4,0.06834613828987686,22.431798015541435,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
